"Statistic Label","Year","County","UNIT","VALUE"
"Population per County","2022","Co. Carlow","Number","61968"
"Population per County","2022","Co. Cavan","Number","81704"
"Population per County","2022","Co. Clare","Number","127938"
"Population per County","2022","Co. Cork","Number","584156"
"Population per County","2022","Co. Donegal","Number","167084"
"Population per County","2022","Co. Dublin","Number","1458154"
"Population per County","2022","Co. Galway","Number","277737"
"Population per County","2022","Co. Kerry","Number","156458"
"Population per County","2022","Co. Kildare","Number","247774"
"Population per County","2022","Co. Kilkenny","Number","104160"
"Population per County","2022","Co. Laois","Number","91877"
"Population per County","2022","Co. Leitrim","Number","35199"
"Population per County","2022","Co. Limerick","Number","209536"
"Population per County","2022","Co. Longford","Number","46751"
"Population per County","2022","Co. Louth","Number","139703"
"Population per County","2022","Co. Mayo","Number","137970"
"Population per County","2022","Co. Meath","Number","220826"
"Population per County","2022","Co. Monaghan","Number","65288"
"Population per County","2022","Co. Offaly","Number","83150"
"Population per County","2022","Co. Roscommon","Number","70259"
"Population per County","2022","Co. Sligo","Number","70198"
"Population per County","2022","Co. Tipperary","Number","167895"
"Population per County","2022","Co. Waterford","Number","127363"
"Population per County","2022","Co. Westmeath","Number","96221"
"Population per County","2022","Co. Wexford","Number","163919"
"Population per County","2022","Co. Wicklow","Number","155851"
"Population per County","2022","Ireland","Number","5149139"
"Population per  County","2022","Co. Carlow","%","1.208755047"
"Population per  County","2022","Co. Cavan","%","1.584862486"
"Population per  County","2022","Co. Clare","%","2.486934804"
"Population per  County","2022","Co. Cork","%","11.34433329"
"Population per  County","2022","Co. Donegal","%","3.246215114"
"Population per  County","2022","Co. Dublin","%","28.31444924"
"Population per  County","2022","Co. Galway","%","5.395707183"
"Population per  County","2022","Co. Kerry","%","3.034720552"
"Population per  County","2022","Co. Kildare","%","4.820440415"
"Population per  County","2022","Co. Kilkenny","%","2.023700038"
"Population per  County","2022","Co. Laois","%","1.788940294"
"Population per  County","2022","Co. Leitrim","%","0.684820015"
"Population per  County","2022","Co. Limerick","%","4.009808851"
"Population per  County","2022","Co. Longford","%","0.910191711"
"Population per  County","2022","Co. Louth","%","2.714921882"
"Population per  County","2022","Co. Mayo","%","2.678443169"
"Population per  County","2022","Co. Meath","%","4.299686779"
"Population per  County","2022","Co. Monaghan","%","1.2653761"
"Population per  County","2022","Co. Offaly","%","1.613495055"
"Population per  County","2022","Co. Roscommon","%","1.366146349"
"Population per  County","2022","Co. Sligo","%","1.362711221"
"Population per  County","2022","Co. Tipperary","%","3.272368926"
"Population per  County","2022","Co. Waterford","%","2.480415869"
"Population per  County","2022","Co. Westmeath","%","1.870583129"
"Population per  County","2022","Co. Wexford","%","3.191682463"
"Population per  County","2022","Co. Wicklow","%","3.030290018"
"Population per  County","2022","Ireland","%","100"
